"Dist Code","Year","State Code","State Name","Dist Name","RICE AREA (1000 ha)","WHEAT AREA (1000 ha)","KHARIF SORGHUM AREA (1000 ha)","RABI SORGHUM AREA (1000 ha)","SORGHUM AREA (1000 ha)","PEARL MILLET AREA (1000 ha)","MAIZE AREA (1000 ha)","FINGER MILLET AREA (1000 ha)","BARLEY AREA (1000 ha)","CHICKPEA AREA (1000 ha)","PIGEONPEA AREA (1000 ha)","MINOR PULSES AREA (1000 ha)","GROUNDNUT AREA (1000 ha)","SESAMUM AREA (1000 ha)","RAPESEED AND MUSTARD AREA (1000 ha)","SAFFLOWER AREA (1000 ha)","CASTOR AREA (1000 ha)","LINSEED AREA (1000 ha)","SUNFLOWER AREA (1000 ha)","SOYABEAN AREA (1000 ha)","OILSEEDS AREA (1000 ha)","SUGARCANE AREA (1000 ha)","COTTON AREA (1000 ha)","FRUITS AREA (1000 ha)","VEGETABLES AREA (1000 ha)","FRUITS AND VEGETABLES AREA (1000 ha)","POTATOES AREA (1000 ha)","ONION AREA (1000 ha)","FODDER AREA (1000 ha)"
"1","2017","14","Chhattisgarh","Durg","841.13","43.5","0.0","0.0","0.11","0.01","9.25","0.01","0.0","258.46","26.24","109.08","0.45","1.8","4.7","0.29","0.0","4.6","0.01","77.4","0.0","19.85","0.45","0.0","0.0","0.0","0.08","0.19","0.0"
"2","2017","14","Chhattisgarh","Bastar","660.36","1.24","0.0","0.0","1.49","0.0","41.94","6.3","0.0","1.39","1.64","40.68","0.06","2.7","2.82","0.0","0.0","0.4","0.08","0.02","0.0","0.72","0.0","0.0","0.0","0.0","0.19","0.2","0.0"
"3","2017","14","Chhattisgarh","Raipur","959.01","14.56","0.0","0.0","0.02","0.0","6.13","0.19","0.0","31.38","2.28","75.44","4.87","1.52","3.85","0.05","0.0","0.41","0.14","0.15","0.0","0.27","0.03","0.0","0.0","0.0","0.51","0.65","0.0"
"4","2017","14","Chhattisgarh","Bilaspur","727.94","15.8","0.0","0.0","0.66","0.02","7.61","0.0","0.18","39.08","7.14","90.31","2.38","2.54","4.44","0.11","0.0","1.63","0.3","13.94","0.0","7.57","0.0","0.0","0.0","0.0","0.6","0.79","0.0"
"5","2017","14","Chhattisgarh","Raigarh","411.12","3.91","0.0","0.0","0.1","0.03","6.29","0.24","0.0","1.16","6.77","41.72","10.18","2.72","4.95","0.01","0.0","0.97","0.7","0.0","0.0","0.43","0.0","0.0","0.0","0.0","2.91","0.5","0.0"
"6","2017","14","Chhattisgarh","Surguja","377.07","23.18","0.0","0.0","1.35","0.0","48.4","0.53","1.7","3.55","19.17","34.98","7.47","5.98","20.67","0.0","0.0","9.75","0.03","0.04","0.0","6.0","0.0","0.0","0.0","0.0","7.07","1.91","0.0"
"7","2017","6","Madhya Pradesh","Jabalpur","210.2","300.7","4.64","0.0","4.64","0.0","13.9","0.0","0.3","121.3","21.39","161.95","0.16","9.0","17.9","0.0","0.0","4.5","0.0","8.7","0.0","3.37","0.0","2.41","17.72","20.14","6.43","3.52","0.48"
"8","2017","6","Madhya Pradesh","Balaghat","220.21","55.56","0.0","0.0","0.0","0.0","10.04","0.0","0.3","61.0","8.7","46.47","0.03","2.0","20.37","0.3","0.01","20.86","0.0","0.01","0.0","3.7","0.0","0.19","3.17","3.36","0.95","0.45","0.16"
"9","2017","6","Madhya Pradesh","Chhindwara","34.01","181.0","14.0","0.0","14.0","0.0","263.5","0.0","0.0","66.0","38.9","21.4","16.44","2.5","3.5","0.0","0.0","1.5","0.0","28.0","0.0","11.0","47.6","8.64","20.72","29.36","8.56","3.59","0.49"
"10","2017","6","Madhya Pradesh","Narsinghpur","39.1","92.0","0.8","0.0","0.8","1.0","5.0","0.0","0.0","101.5","62.5","125.88","0.02","0.4","2.5","0.0","0.0","0.01","0.0","43.5","0.0","51.1","0.0","0.12","5.22","5.34","1.64","1.7","1.04"
"11","2017","6","Madhya Pradesh","Seoni / Shivani","133.13","200.72","0.5","0.0","0.5","0.0","99.7","0.0","0.0","40.0","13.7","42.61","5.22","0.0","1.4","0.0","0.0","6.5","0.0","31.0","0.0","0.0","0.0","0.44","5.48","5.93","1.34","0.74","0.27"
"12","2017","6","Madhya Pradesh","Mandla","215.1","90.0","4.4","0.0","4.4","0.0","47.5","0.0","0.0","28.8","18.9","108.78","0.0","1.3","34.0","0.0","0.0","10.17","0.0","12.2","0.0","2.81","0.0","0.09","2.39","2.49","0.32","0.55","0.01"
"13","2017","6","Madhya Pradesh","Sagar","5.06","278.0","7.0","0.0","7.0","0.0","3.6","0.0","1.0","183.0","12.6","217.57","0.47","1.06","3.51","0.0","0.0","1.82","0.24","216.2","0.0","0.49","0.0","0.04","12.15","12.19","5.5","9.5","8.3"
"14","2017","6","Madhya Pradesh","Damoh","75.73","81.6","3.1","0.0","3.1","0.0","5.08","0.0","0.1","185.75","36.2","168.21","1.65","2.5","3.5","0.0","0.0","1.11","0.0","66.5","0.0","0.6","0.0","0.06","1.91","1.97","1.59","3.63","0.09"
"15","2017","6","Madhya Pradesh","Tikamgarh","4.56","97.19","1.0","0.0","1.0","0.0","1.7","0.0","7.4","12.4","0.06","150.15","16.49","30.0","11.45","0.0","0.0","0.7","0.0","23.5","0.0","0.0","0.0","0.15","4.66","4.8","0.94","0.55","3.84"
"16","2017","6","Madhya Pradesh","Chhatarpur","6.33","175.31","7.0","0.0","7.0","0.01","1.1","0.0","15.9","49.99","8.0","141.76","14.02","97.5","11.94","0.0","0.0","6.38","0.0","30.8","0.0","0.12","0.0","0.21","9.1","9.32","0.28","0.3","8.54"
"17","2017","6","Madhya Pradesh","Panna","58.4","77.79","7.6","0.0","7.6","0.0","2.6","0.0","4.0","93.67","16.7","75.09","0.0","34.6","12.6","0.0","0.0","0.21","0.0","17.5","0.0","0.0","0.0","0.36","2.6","2.95","0.61","1.31","0.0"
"18","2017","6","Madhya Pradesh","Rewa","121.3","173.6","26.12","0.0","26.12","8.0","2.18","0.0","5.02","54.3","32.9","58.63","0.0","5.61","14.51","0.0","0.0","17.38","0.78","42.5","0.0","0.0","0.0","1.5","7.98","9.48","1.72","7.16","0.15"
"19","2017","6","Madhya Pradesh","Sidhi","113.95","101.8","23.51","0.0","23.51","32.5","38.1","0.0","18.13","66.6","46.2","36.56","0.0","30.5","18.85","0.0","0.0","17.18","0.0","2.1","0.0","0.0","0.0","0.22","5.51","5.73","6.61","3.19","0.0"
"20","2017","6","Madhya Pradesh","Satna","132.0","156.8","7.6","0.0","7.6","0.4","4.2","0.0","20.0","116.0","75.0","132.01","0.0","16.6","7.35","0.0","0.0","7.21","0.0","59.8","0.0","0.0","0.0","0.37","1.98","2.35","2.47","2.94","0.01"
"21","2017","6","Madhya Pradesh","Shahdol","240.33","87.27","2.9","0.0","2.9","0.01","38.82","0.0","2.18","45.5","39.75","61.99","0.8","17.1","23.46","0.0","0.0","14.58","0.0","19.3","0.0","0.01","0.0","0.21","5.96","6.16","2.48","1.99","0.0"
"22","2017","6","Madhya Pradesh","Gwalior","9.11","65.0","13.4","0.0","13.4","11.9","0.2","0.0","0.7","26.0","0.0","7.25","0.1","26.5","40.8","0.0","0.0","0.2","0.0","1.7","0.0","0.0","0.0","0.14","8.53","8.67","3.4","0.93","4.16"
"23","2017","6","Madhya Pradesh","Shivpuri","4.4","76.9","0.4","0.0","0.4","8.7","6.6","0.0","3.13","32.0","0.0","127.62","104.34","12.5","54.66","0.0","0.0","0.0","0.0","83.6","0.0","0.0","0.0","0.2","9.59","9.79","1.01","2.12","8.11"
"24","2017","6","Madhya Pradesh","Guna","5.71","255.81","1.0","0.0","1.0","7.6","33.12","0.0","0.8","164.6","0.0","228.17","1.4","2.8","15.5","0.0","0.0","0.05","0.0","323.3","0.0","0.0","0.0","0.04","2.91","2.94","0.85","1.89","7.85"
"25","2017","6","Madhya Pradesh","Datia","16.6","120.8","4.6","0.0","4.6","0.0","1.3","0.0","0.2","29.5","0.0","39.5","6.9","54.4","16.45","0.0","0.0","0.0","0.0","6.7","0.0","0.0","0.0","0.03","2.0","2.03","0.69","0.66","2.79"
"26","2017","6","Madhya Pradesh","Morena","21.4","183.0","6.6","0.0","6.6","148.5","3.32","0.0","2.26","38.93","20.61","36.46","0.4","29.4","162.7","0.0","0.0","11.73","0.0","40.2","0.0","0.07","0.0","0.15","5.35","5.5","4.1","0.75","4.21"
