Site Name,X-coordinate,Y-coordinate
Aberthaw Power Station Biomass,302219.0,166320.0
Ferrybridge Multifuel 2 (FM2),447490.0,424684.0
Thetford Biomass Power Station,585300.0,286900.0
Chilton Energy Plant,428049.0,530414.0
Double H Nurseries Biomass Plant,422804.0,94625.0
Newry Biomass Phase 1 (Gasification),117392.0,488885.0
Beckton STW Biodiesel Power Plant,545350.0,181950.0
Buslingthorpe Power Station (Leeds North),430213.0,435435.0
Invergordon Pellet Mill,271390.0,870450.0
Balcas Timber Biomass CHP Plant,31750.0,505000.0
Caledonian Papermill,233710.0,634940.0
Wilton International,458500.0,519500.0
South View Farm,480945.0,486785.0
Cowie Biomass Facility,284085.0,688685.0
Thornton Power Station,334526.0,443323.0
Green's Lodge Farm,446531.0,314260.0
Iggesund Paperboard CHP Plant,300293.0,530977.0
Goosey Lodge Industrial Estate,496208.0,236736.0
Western Wood Energy Plant,277930.0,186880.0
Eccleshall Biomass,383491.0,330826.0
Westfield Biomass Power Station,319000.0,695100.0
Derriford Hospital,249930.0,59564.0
Rampton Hospital Energy Centre,477542.0,377676.0
Oak Grove Biomass Facility,626522.0,324286.0
Land at Grange Farm,497563.0,383132.0
Elean Business Park Biomass Plant,545000.0,279900.0
Eye Biomass Plant,613200.0,275200.0
King's Yard,538424.0,183769.0
Ridham CHP Plant,592076.0,168421.0
Margam Green Energy Plant,278940.0,186385.0
Merevale & Blyth Estate (Biomass Plant),428108.0,297173.0
Lynemouth Power Station,429850.0,590374.0
Ferrybridge Multifuel 1 (FM1),447490.0,424684.0
Holbrook Community Renewable Energy Centre,444564.0,381752.0
Riverside Industrial Estate Gasification Plant,533578.0,341831.0
Enviroparks Hirwaun Generation Site,293857.0,206832.0
Cramlington CHP,424308.0,578123.0
Tyrone Energy 1,53147.0,564212.0
Evermore Renewable Energy (CHP) / Lisahally Power Station,64627.0,583737.0
Markley Group (Premiere Kitckens) Biomass,380652.0,212428.0
Heathrow Airport Biomass CHP,507124.0,174485.0
Bentwaters CHP,634882.0,253510.0
SAICA Paper Mill,372220.0,392117.0
Eco Composting,410184.0,98499.0
Rothes Bio-Plant,327767.0,849116.0
Beckton Gas Pressure Reduction Station,545005.0,181988.0
Ince Bio Power,345500.0,376500.0
Brigg Renewable Energy Plant,498860.0,406109.0
Tilbury Green Power,563330.0,176110.0
Markinch Biomass CHP Plant,327988.0,701561.0
Templeborough Biomass Power Plant- Rotherham,441740.0,391937.0
Blackburn Meadows Biomass Plant,440075.0,391650.0
Charlesfield Biomass CHP Plant,358892.0,629839.0
Diageo Biomass Energy Project,334567.0,700177.0
Discovery Park,633403.0,159180.0
Drax Biomass Power Station - Unit 1,466650.0,427050.0
Drax Biomass Power Station - Unit 3,466650.0,427050.0
King George Dock,513307.0,428707.0
Northampton General Hospital,476449.0,260399.0
Snetterton Biomass Plant,600731.0,290906.0
Speyside Biomass CHP Plant,327641.0,845585.0
Widnes 3MG Biomass/Mersey Bioenergy (CHP) Plant,350091.0,384450.0
Drax Biomass Power Station - Unit 2,466650.0,427050.0
Stevens Croft,312100.0,585100.0
Macphie of Glenbervie,376500.0,780500.0
Sleaford Renewable Energy Plant,508635.0,345855.0
North Tamar Environ Project - Holsworthy  (Farm AD),234450.0,105800.0
Deerdykes Composting and Organics Recycling Facility (Waste AD),277924.0,676998.0
Cumbernauld BioPlant  (Waste AD),277924.0,676998.0
Carr Farm (Farm AD),338850.0,428420.0
Stoke Bardolph energy crop (Farm AD),464588.0,342496.0
BV Dairy  (Farm AD),387275.0,123550.0
South Manchester Resource Recovery Centre (AD),383732.0,388642.0
Reliance Street Mechanical Biological Treatment Facility (MBT),388115.0,400842.0
Fenmarc Fenland AD Plant (Waste AD),539857.0,298688.0
Marsh Farm  (Farm AD),544727.0,350655.0
Thornton Waste Recovery Park (Waste AD),333392.0,444767.0
Farington Waste Recovery Park (Waste AD),351423.0,423205.0
Fernbrook AD Plant (Waste AD),484016.0,280041.0
Sefter Farm AD Plant (Farm AD),489102.0,99582.0
Brookfield Farm AD Plant (Farm AD),384502.0,319762.0
Cassington AD (Waste AD),446279.0,211425.0
BH Energy - Biogas (AD),155489.0,531504.0
Energen biogas Cumbernauld,277889.0,676918.0
Bristol STW (Waste AD),353600.0,179530.0
A C Shropshire (Farm AD),451758.0,298963.0
Lowbrook Farm Anaerobic Digester (Farm AD),378836.0,109350.0
Symonds Farm Power Ltd (Farm AD),580088.0,265389.0
Buttermilk Farm,534209.0,229393.0
Spring Farm (biomass),615969.0,316308.0
Trinity Hall Farm,498750.0,225450.0
Prosper Demulder Limited Anaerobic Digestion Plant (Waste AD),457265.0,404820.0
Sandhill Anaerobic Digestion Plant (Waste AD),498538.0,456147.0
Abbots moor Farm Anaerobic Digester (Farm AD),337451.0,327233.0
Poplars Anaerobic Digestion Facility (Waste AD),399422.0,309599.0
Reepham Road (Waste AD),616498.0,316273.0
Coleshill STW (Waste AD),419664.0,291273.0
Colwick Industrial Estate (Farm and Food waste),463399.0,339854.0
Green Waste Composting Facility (Waste AD),465377.0,146817.0
Singleton Birch (Farm AD),508839.0,411734.0
Bryn Pica AD / Tomorrow's Valley (Waste AD) - resubmission,300938.0,205377.0
Bredbury Park Way - AD Stockport (Waste AD),392500.0,392300.0
"Stud Farm, Rufford (Farm AD)",465057.0,362789.0
